Node Number	Shear Elastic Strain (mm/mm)
679	-3.2416e-005
680	-1.3145e-004
681	-1.5798e-004
682	-1.1544e-004
683	-1.6774e-004
684	-1.4684e-004
685	-1.6905e-004
686	-1.3475e-004
687	-1.7559e-004
688	-1.4936e-004
689	-2.0902e-004
690	-1.6789e-004
691	-1.8918e-004
692	-1.6464e-004
693	-2.863e-004
694	-2.6212e-004
695	-2.0969e-004
696	-1.7817e-004
697	-3.857e-004
698	-4.2064e-004
699	-3.0261e-004
700	-3.1321e-004
701	-4.2392e-004
702	-5.8293e-004
703	-3.9601e-004
704	-7.6116e-004
705	-4.5007e-004
706	-1.132e-003
707	-7.7037e-004
708	-1.2873e-003
709	-8.3725e-004
710	-9.5741e-004
711	-8.2087e-004
712	-1.1014e-003
713	-7.6137e-004
714	-1.1436e-003
715	-7.5436e-004
716	-1.1147e-003
717	-7.5947e-004
718	-1.0257e-003
719	-7.5103e-004
720	-9.0917e-004
721	-7.2312e-004
722	-7.8557e-004
723	-6.7846e-004
724	-6.6609e-004
725	-6.2217e-004
726	-5.5609e-004
727	-5.5919e-004
728	-4.5754e-004
729	-4.9347e-004
730	-3.7058e-004
731	-4.2795e-004
732	-2.9431e-004
733	-3.6463e-004
734	-2.2736e-004
735	-3.0497e-004
736	-1.6849e-004
737	-2.47e-004
738	-1.1461e-004
739	9.6488e-004
740	1.1668e-005
741	1.3432e-005
742	-2.8466e-004
743	2.7436e-006
744	-3.1368e-006
745	8.8455e-006
746	4.8801e-004
747	-1.3022e-004
748	-4.2879e-005
749	1.1069e-005
750	-9.671e-005
751	6.5327e-006
752	-2.5275e-005
753	1.0499e-005
754	2.0336e-004
755	-1.0822e-003
756	-1.9624e-003
757	9.3986e-004
758	-1.0844e-005
759	1.4419e-005
760	4.2541e-006
761	-1.0114e-006
762	-5.6958e-006
763	-1.0436e-005
764	-1.4235e-005
765	-1.6106e-005
766	-1.5678e-005
767	-9.8036e-006
768	4.238e-007
769	2.8653e-005
770	6.3382e-005
771	1.9724e-004
772	2.2759e-004
773	9.1128e-004
774	1.2395e-005
775	-1.9315e-003
776	-1.8178e-003
777	-1.7064e-003
778	-1.5979e-003
779	-1.4929e-003
780	-1.3923e-003
781	-1.2965e-003
782	-1.2055e-003
783	-1.1186e-003
784	-1.0352e-003
785	-9.5449e-004
786	-8.757e-004
787	-7.9833e-004
788	-7.2199e-004
789	-6.4637e-004
790	-5.7127e-004
791	-4.9652e-004
792	-4.2208e-004
793	-3.4808e-004
794	-2.5729e-004
795	-2.3956e-004
796	-2.2043e-004
797	-2.0319e-004
798	-1.8747e-004
799	-1.7324e-004
800	-1.6022e-004
801	-1.4814e-004
802	-1.3679e-004
803	-1.2606e-004
804	-1.1585e-004
805	-1.0616e-004
806	-9.6962e-005
807	-8.8273e-005
808	-8.0089e-005
809	-7.24e-005
810	-6.5185e-005
811	-5.8415e-005
812	-5.2052e-005
813	-4.605e-005
814	-4.0361e-005
815	-3.4933e-005
816	-2.9713e-005
817	-2.4652e-005
818	-1.9701e-005
819	-1.482e-005
820	-9.9882e-006
821	-5.2641e-006
822	-1.328e-006
