Node Number	Shear Elastic Strain (mm/mm)
509	-4.2319e-004
510	1.9881e-004
511	-3.896e-004
512	3.6431e-004
513	-3.7256e-004
514	4.9263e-004
515	-3.6706e-004
516	5.4948e-004
517	-3.8345e-004
518	4.8581e-004
519	-1.0362e-003
520	-1.1697e-003
521	-1.0396e-003
522	-1.1727e-003
523	-9.908e-004
524	-1.1487e-003
525	-9.1403e-004
526	-1.1135e-003
527	-8.1792e-004
528	-1.0731e-003
529	-7.0622e-004
530	-1.0312e-003
531	-5.8162e-004
532	-9.9169e-004
533	-4.4681e-004
534	-9.5834e-004
535	-3.0518e-004
536	-9.3474e-004
537	-1.6164e-004
538	-9.2307e-004
539	-2.4005e-005
540	-9.2278e-004
541	9.3324e-005
542	-9.2852e-004
543	1.6306e-004
544	-9.3371e-004
545	1.3029e-004
546	-9.4916e-004
547	-1.8098e-003
548	-1.781e-003
549	-1.7405e-003
550	-1.6854e-003
551	-1.6168e-003
552	-1.5347e-003
553	-1.4395e-003
554	-1.3318e-003
555	-1.2126e-003
556	-1.0831e-003
557	-9.4497e-004
558	-8.0049e-004
559	-6.5226e-004
560	-5.0338e-004
561	-3.5729e-004
562	-2.1751e-004
563	-8.7274e-005
564	3.129e-005
565	1.3785e-004
566	-1.7312e-003
567	-1.698e-003
568	-1.6411e-003
569	-1.5662e-003
570	-1.4748e-003
571	-1.3699e-003
572	-1.2555e-003
573	-1.1366e-003
574	-1.0191e-003
575	-9.0955e-004
576	-8.1445e-004
577	-7.3999e-004
578	-6.9123e-004
579	-6.7161e-004
580	-6.8262e-004
581	-7.2376e-004
582	-7.9279e-004
583	-8.8747e-004
584	-9.9967e-004
585	4.5035e-004
586	3.346e-004
587	2.1063e-004
588	7.6557e-005
589	-6.6865e-005
590	-2.1752e-004
591	-3.7277e-004
592	-5.2996e-004
593	-6.8656e-004
594	-8.4038e-004
595	-9.8949e-004
596	-1.1323e-003
597	-1.2673e-003
598	-1.3932e-003
599	-1.5088e-003
600	-1.6126e-003
601	-1.7032e-003
602	-1.7769e-003
603	-1.832e-003
604	-4.7648e-004
605	-3.5285e-004
606	-2.4523e-004
607	-1.6343e-004
608	-1.1025e-004
609	-8.864e-005
610	-9.9869e-005
611	-1.434e-004
612	-2.1686e-004
613	-3.163e-004
614	-4.3663e-004
615	-5.7219e-004
616	-7.1729e-004
617	-8.6662e-004
618	-1.0155e-003
619	-1.1602e-003
620	-1.2972e-003
621	-1.425e-003
622	-1.5366e-003
623	3.6424e-005
624	1.944e-005
625	4.4691e-005
626	1.6749e-005
627	4.3616e-005
628	1.9922e-005
629	1.6214e-005
630	1.1594e-007
631	-1.2574e-005
632	-8.559e-006
633	-7.1667e-005
634	-6.2237e-005
635	-1.1195e-004
636	-6.812e-005
637	-1.9677e-004
638	-1.5116e-004
639	-2.5792e-004
640	-1.683e-004
641	-3.5371e-004
642	-2.5432e-004
643	-4.1682e-004
644	-3.3857e-004
645	-4.7356e-004
646	-4.2779e-004
647	-6.3484e-004
648	-3.9766e-004
649	-8.2434e-004
650	-3.9853e-004
651	-8.2765e-004
652	-7.8717e-004
653	-8.5494e-004
654	-9.7609e-004
655	-9.9084e-004
656	-9.1451e-004
657	-1.094e-003
658	-9.3678e-004
659	-1.1967e-003
660	-1.0011e-003
661	-1.2907e-003
662	-1.0993e-003
663	-1.3778e-003
664	-1.2124e-003
665	-1.4573e-003
666	-1.3282e-003
667	-1.5286e-003
668	-1.4385e-003
669	-1.591e-003
670	-1.5387e-003
671	-1.6439e-003
672	-1.6259e-003
673	-1.6872e-003
674	-1.6988e-003
675	-1.7203e-003
676	-1.757e-003
677	-1.7482e-003
678	-1.7982e-003
679	-1.7519e-003
680	-1.8295e-003
681	-3.8883e-005
682	-7.2549e-005
683	-5.1339e-005
684	-1.0884e-004
685	-9.1434e-005
686	-1.6478e-004
687	-1.0422e-004
688	-1.8039e-004
689	-1.464e-004
690	-2.2388e-004
691	-1.2216e-004
692	-1.8212e-004
693	-2.199e-004
694	-2.9432e-004
695	-1.3331e-004
696	-1.4722e-004
697	-2.6744e-004
698	-3.6425e-004
699	-2.0741e-004
700	-2.8064e-004
701	-3.2319e-004
702	-4.0962e-004
703	-4.7096e-004
704	-2.3418e-004
705	-3.3708e-004
706	-1.9563e-004
707	-3.3677e-004
708	-8.975e-004
709	-5.451e-004
710	-1.4771e-003
711	-7.9563e-004
712	-1.6138e-003
713	-9.9913e-004
714	-1.3368e-003
715	-1.1769e-003
716	-1.1002e-003
717	-1.2653e-003
718	-1.0409e-003
719	-1.3367e-003
720	-1.0841e-003
721	-1.4104e-003
722	-1.1752e-003
723	-1.4898e-003
724	-1.2795e-003
725	-1.5702e-003
726	-1.3783e-003
727	-1.6463e-003
728	-1.4627e-003
729	-1.7135e-003
730	-1.5295e-003
731	-1.7687e-003
732	-1.5785e-003
733	-1.8105e-003
734	-1.6109e-003
735	-1.8366e-003
736	-1.633e-003
737	-1.8538e-003
738	-1.6311e-003
739	3.4231e-003
740	-1.9377e-005
741	1.8599e-006
742	-7.5997e-004
743	3.1469e-007
744	-3.9526e-005
745	3.2757e-006
746	-5.9296e-004
747	-4.6915e-004
748	2.9391e-005
749	4.8678e-006
750	-2.002e-004
751	2.2669e-006
752	4.1457e-005
753	5.6756e-006
754	-9.6102e-004
755	-2.588e-003
756	-9.7401e-004
757	1.4096e-003
758	-1.4778e-005
759	3.2801e-005
760	-7.5673e-005
761	-1.1184e-004
762	-1.0582e-004
763	-6.7787e-005
764	2.0914e-006
765	1.0561e-004
766	2.4561e-004
767	4.2706e-004
768	6.5387e-004
769	9.4851e-004
770	1.3018e-003
771	1.9198e-003
772	2.2399e-003
773	4.7984e-003
774	4.9019e-006
775	-9.2532e-004
776	-8.9712e-004
777	-9.005e-004
778	-9.4178e-004
779	-1.0126e-003
780	-1.1028e-003
781	-1.202e-003
782	-1.2999e-003
783	-1.3868e-003
784	-1.4554e-003
785	-1.5007e-003
786	-1.5197e-003
787	-1.5108e-003
788	-1.4739e-003
789	-1.4095e-003
790	-1.3185e-003
791	-1.2024e-003
792	-1.0629e-003
793	-9.0218e-004
794	-6.8263e-004
795	-6.2195e-004
796	-5.6704e-004
797	-5.1625e-004
798	-4.6906e-004
799	-4.2537e-004
800	-3.8506e-004
801	-3.4791e-004
802	-3.1368e-004
803	-2.821e-004
804	-2.5287e-004
805	-2.2575e-004
806	-2.0052e-004
807	-1.7701e-004
808	-1.5509e-004
809	-1.3467e-004
810	-1.1567e-004
811	-9.8069e-005
812	-8.184e-005
813	-6.6981e-005
814	-5.3499e-005
815	-4.1415e-005
816	-3.0757e-005
817	-2.1566e-005
818	-1.3893e-005
819	-7.7949e-006
820	-3.3282e-006
821	-5.0607e-007
822	5.728e-007
823	8.1182e-007
824	3.5617e-006
825	4.4106e-006
826	5.6289e-006
827	6.009e-006
828	3.8977e-006
829	5.3837e-006
830	8.8249e-006
831	1.0999e-005
832	1.2691e-005
833	1.4126e-005
834	1.5359e-005
835	1.6373e-005
836	1.7121e-005
837	1.7543e-005
838	1.7579e-005
839	1.7174e-005
840	1.6282e-005
841	1.487e-005
842	1.2924e-005
843	1.0445e-005
844	7.4603e-006
845	4.0131e-006
846	1.6569e-007
847	-4.0078e-006
848	-8.4293e-006
849	-1.3027e-005
850	-1.7746e-005
851	-2.2559e-005
852	-2.7455e-005
853	-3.2483e-005
854	-3.7549e-005
855	-4.3017e-005
856	-4.705e-005
857	-4.2092e-005
858	-3.4488e-005
859	-2.4579e-005
860	-1.1806e-005
861	2.7801e-006
862	1.8366e-005
863	3.4366e-005
864	5.0271e-005
865	6.5581e-005
866	7.9762e-005
867	9.2222e-005
868	1.0231e-004
869	1.0933e-004
870	1.1264e-004
871	1.1177e-004
872	1.066e-004
873	9.7525e-005
874	8.5244e-005
875	7.0695e-005
876	5.4679e-005
877	6.2099e-005
878	-2.4808e-004
879	-8.0852e-004
880	-9.1138e-004
881	-6.1267e-004
882	-8.7429e-004
883	-9.9596e-004
884	-1.0566e-003
885	-1.0978e-003
886	-1.1397e-003
887	-1.184e-003
888	-1.2247e-003
889	-1.2501e-003
890	-1.2442e-003
891	-1.1888e-003
892	-1.0689e-003
893	-8.8277e-004
894	-6.5504e-004
895	-4.0612e-004
896	-3.6068e-004
897	-3.1796e-004
898	-2.775e-004
899	-2.3959e-004
900	-2.0441e-004
901	-1.7201e-004
902	-1.4242e-004
903	-1.156e-004
904	-9.1498e-005
905	-7.0031e-005
906	-5.1104e-005
907	-3.4598e-005
908	-2.037e-005
909	-8.2547e-006
910	1.9396e-006
911	1.0446e-005
912	1.7609e-005
913	2.3e-005
914	3.1804e-005
915	3.4229e-005
916	3.6029e-005
917	3.7328e-005
918	3.8024e-005
919	3.8355e-005
920	3.8365e-005
921	3.8124e-005
922	3.7673e-005
923	3.7049e-005
924	3.628e-005
925	3.5385e-005
926	3.438e-005
927	3.3277e-005
928	3.2084e-005
929	3.0806e-005
930	2.9446e-005
931	2.8005e-005
932	2.6483e-005
933	2.488e-005
934	2.3193e-005
935	2.142e-005
936	1.9559e-005
937	1.761e-005
938	1.5567e-005
939	1.3411e-005
940	1.1121e-005
941	8.6445e-006
942	5.9096e-006
943	-2.1443e-003
944	-1.9806e-003
945	-1.8126e-003
946	-1.6396e-003
947	-1.4702e-003
948	-1.3084e-003
949	-1.1562e-003
950	-1.014e-003
951	-8.8223e-004
952	-7.6159e-004
953	-6.531e-004
954	-5.5765e-004
955	-4.7572e-004
956	-4.0715e-004
957	-3.5113e-004
958	-3.0625e-004
959	-2.7059e-004
960	-2.4187e-004
961	-2.1808e-004
962	-1.9343e-004
